geneID	geneSymbol	A498_KIDNEY	A549_LUNG	ACHN_KIDNEY	BT549_BREAST	CAKI1_KIDNEY	DU145_PROSTATE	EKVX_LUNG	HCT116_LARGE_INTESTINE	HCT15_LARGE_INTESTINE	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HOP62_LUNG	HOP92_LUNG	HS578T_BREAST	HT29_LARGE_INTESTINE	IGROV1_OVARY	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KM12_LARGE_INTESTINE	LOXIMVI_SKIN	MALME3M_SKIN	MCF7_BREAST	MDAMB231_BREAST	MDAMB435S_SKIN	MDAMB468_BREAST	NCIH226_LUNG	NCIH23_LUNG	NCIH322_LUNG	NCIH460_LUNG	NCIH522_LUNG	NIHOVCAR3_OVARY	OVCAR4_OVARY	OVCAR8_OVARY	PC3_PROSTATE	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SF268_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF539_CENTRAL_NERVOUS_SYSTEM	SKMEL28_SKIN	SKMEL5_SKIN	SKOV3_OVARY	SW620_LARGE_INTESTINE	T47D_BREAST	U251MG_CENTRAL_NERVOUS_SYSTEM	UACC257_SKIN	UACC62_SKIN	UO31_KIDNEY
ENSG00000088256.4	GNA11	22.23	13.71	19.09	25.82	10.34	36.81	29.09	46.62	34.04	0.45	25.48	28.84	54.21	19.99	27.63	16.16	12.22	23.72	19.5	16.4	53.89	34.17	28.16	29.32	26.27	29.51	19.41	30.08	19.57	18.17	38.37	18.37	3.24	61.69	50.82	27.11	26.07	16.53	52.78	17.36	22.85	36.37	28.69	17.35	25.28
ENSG00000088888.13	MAVS	9.46	14.79	14.28	41.48	4.24	7.67	17.72	31.43	23.3	3.1	22.19	19.97	15.45	20.12	21.95	14.71	10.54	19.74	29.24	30.32	24.86	39.83	20.97	10.41	5.54	17.07	14.41	21.76	10.9	9.79	16.99	12.52	15.63	38.99	27.75	14.92	32.12	20.78	52.7	23.79	22.65	21.8	33.06	13.62	25.79
ENSG00000089022.9	MAPKAPK5	23.42	35.22	51.62	32.79	31.84	31.81	20.17	41.17	41.82	27.38	33.8	23.8	21.67	44.72	27.94	31.38	56.61	30.88	33.54	29.33	29.97	18.28	33.02	32.36	36.25	30.87	41.09	30.98	47.69	23.89	27.43	27.56	30.16	23.76	31.28	21.12	20.13	29.62	34.65	39.99	37.09	19.75	57.42	37.23	33.07
ENSG00000089041.12	P2RX7	2.03	0	1.91	0.09	0.1	0	0.03	0.55	0.09	0.14	2.09	1.17	0.07	0	0.05	3.57	0.02	0.04	11.13	0.45	0.02	9.69	2.19	1.75	0	0.01	0.61	0.3	0.08	0	0.54	1.93	14.14	3	6.85	11.8	38.37	19.26	0	0.02	1.75	1.7	49.95	25.2	1.13
ENSG00000089053.8	ANAPC5	52.14	111.65	102.46	97.88	87.4	107.25	53.33	109.41	115.62	172.28	60.81	77.44	64.58	71.48	88.05	119.53	118.13	84.07	146.52	124.44	77.55	80.53	47.83	76.39	87.72	54.58	123.29	75.14	64.74	42.69	69.71	107.66	121.62	63.57	87.57	74.62	109.53	129.38	67.74	119.69	121.93	55.32	80.83	120.89	88.26
ENSG00000089159.11	PXN	76.04	104.33	96.53	90.85	52.32	214.12	65.64	190.5	100.14	0.64	58.38	120.01	45.6	66.7	85.34	57.37	38.4	310.48	174.42	62.18	182.47	76.52	45.68	172.42	161.34	145.22	45.44	18.88	106.54	43.76	195	242.6	3.97	106.49	171.16	58.05	224.87	66.64	96.3	31.97	78.58	43.04	142.17	190.09	99.55
ENSG00000089234.11	BRAP	7.39	13.6	15.64	9.62	8.72	13.5	16.53	14.17	15.17	6.77	10.98	7.01	8.45	9.93	13.17	16.78	8.78	12.17	12.91	11.52	11.91	9.03	10.46	12.04	16.06	8.59	9.22	10.48	15.01	7.98	13.78	11.39	12.68	9.63	10.5	10.07	10.95	10.9	13.46	10.9	12.55	8.37	18.96	17.15	13.1
ENSG00000089250.14	NOS1	0	0.07	0	0	0	0	0	0.02	0	0	0	0	0	0	22.62	0	0	0	0	0	0	0.04	0.01	0	0	0.01	0	0.01	5.01	0.31	0	0.01	0.02	0	0	0	0.08	0.01	2.54	0.01	0	0	0	0	0.08
ENSG00000089685.10	BIRC5	60.08	88.39	101.92	87.22	98.41	129.13	82.37	154.89	109.8	44.94	113.08	81.93	61.51	48.2	61.8	84.65	60.25	72.59	61.52	53.99	104.67	90.07	114.76	101.9	94.49	75.75	107.2	115.12	83.62	90.93	131.01	147.68	71.28	174.63	159.86	66.19	49.04	149.14	86.83	89.8	78.28	49.59	66.6	68.5	65.36
ENSG00000090020.6	SLC9A1	8.45	7.71	9.17	12.95	9.16	9.06	9.36	13.54	15.37	5.64	16.34	11.57	24.74	7.41	20.46	10.32	15.53	13.57	12.78	26.95	14.26	5.28	13.14	21.32	10.65	20.53	17.65	11.46	11.66	13.96	21	21.09	4.14	19.8	22.2	37.53	12.63	6.92	20.75	7.94	15.26	14.55	19.64	19.22	20.21
ENSG00000090339.4	ICAM1	69.49	1.16	0.87	53.31	9.4	67.84	2.83	2.3	47.38	0.24	69.34	17.03	45.39	1.18	0.23	45.95	0.16	2.85	50.59	1.28	8.92	22.01	63.74	88.29	76.14	2.27	0.33	0.62	5.05	35.9	18.36	7.09	61.78	9.56	1.64	23.68	129.3	24.53	1.16	0.61	0.89	0.81	76.63	153.42	26.62
ENSG00000090376.4	IRAK3	0.01	0.06	0.05	0.12	2.53	3.72	0.02	0.04	0.06	7.85	1.17	1.54	0.03	0.05	0.06	0	0.01	0.02	0.01	0	0.49	0.02	0.48	0.01	0.16	0.05	0.34	0.03	0.3	0.14	1.74	0.01	0.02	0.03	0.03	0.05	0.01	0.01	0.3	0	0.11	0.03	0.22	0.02	0.14
ENSG00000090534.13	THPO	0.07	0.01	0.02	0	0	0.23	0.1	0	0.05	0	0.05	0	0	0.41	0.21	0.6	0.04	0	0.03	0	0	0	0.1	0.07	0.08	0.02	0	0.18	0.18	0.03	0.51	0	0.35	0.08	0.02	0.03	0.03	0.27	0.22	0.02	0.16	0.11	0.03	0.11	0.12
ENSG00000090539.11	CHRD	0.13	0.06	0.09	0.04	0.02	0.46	1.14	2.92	0.12	0.07	0.23	0.02	0.07	1.99	4.08	1.61	0.04	0.03	0.14	0.31	0	0.03	0.18	0.75	0.67	0.07	0.04	1.11	0.99	0.46	2.35	0.06	1.69	1.04	0.11	0.52	0.37	1.75	2.96	0.12	1	1.66	0.07	0.41	0.76
ENSG00000090554.8	FLT3LG	4.91	0.95	3.37	5.06	4.12	0.96	0.82	1.66	1.54	1.64	2.81	3.8	9.68	1.19	0.28	9.2	4.32	4.08	0.77	0.58	7.92	12.1	6.8	11.03	0.92	0.18	0.69	0.79	1.79	1.62	5.13	1.1	6.36	7.7	13.07	15.03	2.32	1.03	2.53	1.32	1.88	4.31	0.48	0.61	6.35
ENSG00000090659.13	CD209	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0.02	0	0	0	0	0	0.01	0.01	0	0	0	0	0.03	0.01	0.02	0	0	0.08	0	0.02	0	0	0.01	0.01	0	0	0	0.01	0	0.08
ENSG00000090932.6	DLL3	2.14	3.34	0.72	2.98	1.25	2.96	1.23	0.05	0.01	0.05	3.92	0.08	0.86	0.14	2.07	0.89	0.02	2.31	55.78	0.04	0.04	1.67	1.82	0.01	3.7	0.01	3.46	10.98	23.76	4.01	4.06	3.18	0.36	0.3	1.74	0.05	3.59	18.31	1	0.62	0	0.31	147.29	5.98	1.71
ENSG00000091073.15	DTX2	31.03	20.38	50.99	23.52	40.1	39.93	25.27	16.14	13.76	5.93	16.08	35	8.11	11.69	12.44	20.67	27.45	10.19	12.99	6.48	19.49	7.37	26.05	18.83	4.89	11.83	3.3	8.05	9.15	10.73	13.05	8.89	10.51	12.67	14.46	15.15	3.97	13.85	9.64	10.72	15.41	11.39	12.71	13.2	33.39
ENSG00000091106.14	NLRC4	0.24	0.17	0.1	0.2	0.17	0.35	0.12	0.32	0.42	0.83	0.32	0.19	0.18	0.08	0.27	0.35	0.27	0.02	0.25	0.07	0.08	0.3	0.28	0.22	0.17	0.32	0.11	0.16	0.26	0.19	0.11	0.21	0.21	0.05	0.18	0.3	0.6	0.07	0.25	0.08	0.07	0.2	0.23	0.46	0.09
ENSG00000091128.8	LAMB4	0.44	0.36	0.08	0	0.24	0.07	0.08	0	0	0	0.08	0.01	0	0.09	0.33	0.05	0	0.08	0.25	0.04	0.15	0.1	0.12	0.03	0	0.06	0.04	0	0.02	0.75	0.04	0.01	0.12	0.06	0.34	0.1	0.06	0.12	0.5	0.21	0	0.13	0.07	0.55	0.18
ENSG00000091136.9	LAMB1	224.06	136.52	340.49	134.69	315.78	20.2	98.73	23.05	76.81	1.34	247.55	182.56	290	50.45	296.58	41.48	75.22	115.35	220.22	12.74	88.45	144.71	51.7	163.82	84.02	115.36	110.23	3.6	85.15	223.27	64.09	91.96	5.57	68.91	527.8	125.1	101.89	173.52	78.59	32.05	38.95	105.75	117.7	581.63	226.83
ENSG00000091181.15	IL5RA	0	0	0	0	0	0	0	0	0	0.06	0.01	0	0	0	0.03	0.18	0	0	0.05	0	0	0	0	0	0.02	0	0	0.05	0.03	0	0	0	1.44	0	0	0	0	0	0	0	0.02	0.01	0	0	0
ENSG00000091409.10	ITGA6	4.17	31.08	16.16	46.56	2.78	61.68	59.77	70.92	46.92	8.43	12.58	47.81	1.67	62.31	18.13	0.17	193.35	176.65	140.61	0.56	158.32	83.26	37.25	46.63	25.05	124.39	38.51	41.04	14.46	1.76	56.69	65	0.4	14.34	41.92	14.86	181.62	47.21	68.57	76.86	7.74	21.04	38.03	127.87	19.18
ENSG00000091428.13	RAPGEF4	0.12	0.1	0.05	0.12	0.21	1.07	0.51	0.22	0.13	0.11	1.4	0.28	0.41	0	0.18	0.03	0.37	0.2	0.33	0.1	0.24	0.22	1.17	0.11	0.65	0.21	2.38	1.49	0.7	0.04	0.08	0.24	0	0.22	0.44	0.26	1.75	1.89	1.08	8.79	0.07	6.2	2.21	5.81	0.1
ENSG00000091513.10	TF	0.43	1.09	0.16	0.1	0.06	0.46	2.9	0.11	0.1	0.15	0.14	0.19	0.5	0.14	0.14	9.53	0.21	0.44	0.21	0.22	0.2	0.28	5.96	0.74	0.18	0.05	0.15	0.05	0.8	0.13	0.1	0.04	0.05	0.11	0.41	0.27	1.27	0.34	0.22	0.3	0.17	1.83	2.92	11.66	0.01
ENSG00000091592.11	NLRP1	0.95	1.36	11.44	12.47	6.87	2.12	0.76	0.88	0.05	0.17	21.93	13.83	48.26	0.04	0.56	71.66	0.22	11.14	0.91	0.36	10.08	10.01	0.79	19.43	1.37	0.39	0.25	6.38	1.43	1.39	9.27	0.71	13.5	93.98	16.41	4.08	13.82	6.33	9.51	0.72	0.09	7.1	0.81	0.9	40.94
ENSG00000091651.4	ORC6	16.68	39.03	50.04	45.14	22.09	56.65	29.65	68.36	69.78	44.06	66.95	14.53	14.61	29.39	38.04	59.42	40.37	16.19	21.5	15.41	32.33	30.06	34.67	37.6	32.37	51.46	47.72	47.95	26.62	72.27	60.18	23.97	40.85	38.8	81.6	13.51	28.1	34.54	41.13	69.77	23.12	37.68	60.02	33.94	37.41
ENSG00000091831.17	ESR1	0.03	0.18	0.58	0.01	0.11	0.21	0.09	0	0	0.01	0.04	0.16	0.05	0.02	0.03	0.1	0.25	0.06	0.52	41.35	0.09	0.18	1.32	0.29	0.05	0.64	0.27	0	0.47	0.33	0.02	0.6	0.12	0.17	0.3	1.12	0.79	0.49	17.15	0.02	42.56	0.27	0.73	0.46	0.19
ENSG00000091879.9	ANGPT2	0.01	0.08	0.05	0.03	0.05	0.07	0.05	0.49	0.11	0.03	0.03	0.01	0.06	0.04	0.05	0.04	0.09	0.1	0.19	0.01	0.07	0.09	0.03	0.01	0.08	0.04	0.02	0	0.02	0.02	0.02	0.01	0.01	0.07	0.07	0.05	0.88	0.04	0.13	0.28	0.09	5.72	0.17	0.47	0.07
ENSG00000092020.6	PPP2R3C	7.35	23.11	15.4	25.21	23.81	66.33	17.46	19.7	24.22	34.09	24.63	31.52	20.96	22.18	16.75	22.79	22.35	27.36	40.06	20.91	26.37	26.88	13.81	15.75	25.59	40.63	13.58	13.63	38.54	8.19	33.6	17.21	13.97	20.72	19.74	19.26	15.53	26.47	14.6	21.3	14.75	26.29	30.38	21.79	15.76
ENSG00000092054.12	MYH7	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0.07	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0.01	0.02	0
ENSG00000092098.12	RNF31	17.95	13.76	18.43	23.39	12.4	17.43	32.59	46.53	26.65	29.39	24.96	31.74	18.41	17.35	29.34	17.06	23.49	27.11	35.81	41.36	26.62	31.4	25.76	30.18	39.16	56.09	22.33	26.91	48.75	14.34	24.37	22.24	20.14	19.86	15.9	38.95	19.98	21.55	29.93	18.17	23.44	16.55	31.68	40.8	18.88
ENSG00000092377.9	TBL1Y	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.28	0	0	0	0	0	0.54	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000092758.11	COL9A3	0.32	0.31	0.19	1.96	0.29	1.16	1.67	13.57	1.76	3.32	1.53	0.6	0.22	27.18	0.86	3.46	1.69	16.89	638.96	1.63	0.22	15.73	0.61	0.39	7.1	0.97	5.55	4.58	2.45	0.55	9.52	2.6	18.95	0.33	0.06	0.13	181.66	17.57	0.16	19.75	8.03	43.16	22.42	605.37	0.83
ENSG00000092841.14	MYL6	1913.8	1831.1	2781.2	1590.5	3365.3	2169.4	2292.1	646.21	1291.3	746.25	1582.2	1976	2521.3	1009.7	2093.4	738.55	1864.7	1110.2	970.45	2163.1	1824.3	1702.2	1067.4	1775	1464.1	802.61	1051.7	908.96	1104.3	3998.2	4125.5	1500.1	654.79	2429.6	1624	1631.5	515.38	578.09	3410.9	1117.4	1840.1	1403.3	725.6	647.03	2395.8
ENSG00000092969.7	TGFB2	40.01	47.08	21.82	6.5	12.62	16.43	90.85	0.39	0.89	0.78	154.98	27.99	111.54	1.37	0.74	0.1	0.38	0.44	0.49	0.27	36.35	5.24	71.7	0.63	5.38	1.21	8.51	0.24	17.81	9.73	2.65	26.55	0.06	54.63	9.49	13.56	0.29	1.25	7.93	0.17	0.6	7.49	0.6	0.64	63.43
ENSG00000093009.5	CDC45	26	29.3	25.72	33.19	11.18	61.38	26.52	44.23	53.34	80.96	51.44	10	21.04	52.91	33.55	253.33	33.41	19.97	57.71	32.18	36.45	38.48	42.16	19.31	33.46	46.08	42.06	23.7	41.95	35.15	35.88	22.26	24.65	38.33	57.3	22.31	47.85	43.2	37.9	50.51	27.82	14.67	40.8	36.12	21.17
ENSG00000094796.4	KRT31	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.01	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0.06	0	0	0	0	0	0	0.01	0.08	0.05	0	0	0
ENSG00000094804.5	CDC6	24.71	58.17	51.49	28.98	16.34	55.59	43.23	87.05	108.08	16.12	83.99	14.5	14	45.12	63.79	85.16	40.51	41.67	64.89	32.06	75.44	27.39	43.44	79.93	70.32	49.13	73.85	48.35	29.67	39.27	68.03	28.28	68.06	85.46	94.66	32.42	46.75	87.98	59.14	70.77	69.9	33.16	52.45	55.67	30.37
ENSG00000094880.6	CDC23	22.92	37.38	24.35	49.21	21.83	38.49	24.14	48.15	56.04	6.85	39.99	19.62	26.36	16.38	22.53	42.05	17.34	22.12	11.69	36.23	34.77	16.34	29.41	32.92	26.56	23.08	34.07	37.97	35.38	32.88	34.2	15.74	17.23	22.02	44.14	32.66	25.51	24.85	33.62	28.59	36.57	31.13	23.83	26.42	24.11
ENSG00000095015.5	MAP3K1	2.19	1.91	5.73	1.79	5.37	2.88	4.25	4.16	10.17	2.71	2.73	3.07	5.49	6.8	13.39	4.35	2.71	2.18	6.99	6.84	6.65	3.94	7.74	3.05	3.38	3.23	0.87	2.42	4.3	6.18	2.92	1.26	24.12	2.6	1.54	2.37	9.65	11.25	7.39	5.44	22.49	4.99	7.9	12.38	7.07
ENSG00000095585.12	BLNK	0.2	0	0.03	0.05	0.09	0.06	0.14	0.01	0	0.05	0	0.02	0.02	0.69	0.1	0.03	0.02	0.05	0	2.01	0.13	0.07	3.34	0.05	0	0.26	0.02	0.02	1.13	2.2	0	0	33.91	0.01	0.02	0.02	0.07	0.01	0.02	0	20.89	0.03	0.09	0.13	0.07
ENSG00000095637.16	SORBS1	1.13	0.26	0.79	0.21	0.6	1.26	0.69	1.33	2.5	0.03	0.37	0.83	0.24	0.17	4.32	4.11	1.61	0.19	31.74	0.22	0.16	5.6	5.65	0.19	0.64	0.39	0.11	1.82	2.63	0.95	0.33	0.69	0.15	0.75	0.26	0.07	11.22	16.46	0.65	1	0.7	14.5	12.49	4.24	4.8
ENSG00000095739.7	BAMBI	9.76	18.81	0.55	75.81	1.15	2.42	53.51	5.44	27.92	2.35	10.09	1.91	31.31	0.65	5.28	8.31	20.6	1.87	211.08	70.18	7.54	25.48	25.5	6.92	8.27	2.81	2.27	0.32	2.11	14.66	5.76	3.1	2.48	19.73	18.84	6.36	190.92	101.11	14.83	52.27	30.69	15.3	104.7	159.83	1.17
ENSG00000095752.2	IL11	0.37	16.8	0.37	0.24	1.63	7.67	4.75	0.43	0.71	0.02	45.83	12.24	26.68	0.22	0.07	0.04	0.4	19.12	1.28	0.71	39.57	0.86	1.25	23.76	1.23	0.5	0.1	0.75	0.59	2.25	7.23	4.87	0.19	0.32	10.36	7.15	0.31	0.15	0.53	0.18	0.22	4.99	0.23	1.23	27.28
ENSG00000096384.15	HSP90AB1	628.13	1141.4	1081.1	1257.9	1131.6	1882.4	602.38	3610.3	2049.1	509.94	1829.8	1042.6	1105.7	1063.2	1502.9	1082.7	759.28	1613.3	1377.7	1103.1	1766.5	923.71	1329.1	1310.5	2133.4	1192.6	2051.9	1936.3	1070.2	810.71	1450.8	823.3	1138.4	1272.8	1307	1187	1056.9	1322.4	1126.9	1397.8	1010.5	828.75	1916.7	1019.3	1373.9
ENSG00000096433.6	ITPR3	32	9.31	58.09	0.62	4.09	32.65	7.19	52.04	37.13	0.15	20.64	23.14	33.86	63.66	30.99	14.03	6.8	3.55	61.51	20.6	78.87	28.7	52.96	26.01	13.44	28.86	19.56	14.3	12.34	27.14	30.39	20.09	27.55	2.02	28.43	48.01	35.91	10.32	65.79	28.31	15.81	11.73	40.62	34.2	30.98
ENSG00000096717.7	SIRT1	6.89	18.53	11.32	46.52	8.04	21.54	17.14	20.33	21.21	5.95	10.57	10.41	10.82	7.71	13.48	19.61	15.85	9.67	5.46	11	9.05	7.9	16.14	7.25	13.67	9.46	7.56	20.52	15.42	7.75	9.98	11.73	4.57	8.16	7.76	8.79	4.68	6.17	14.14	11.26	9.77	10.74	6.65	4.79	6.96
ENSG00000096968.8	JAK2	1.68	2.67	1.83	6.33	1.57	3.75	3.67	3.5	1.88	1.71	2.47	1.19	5.67	0.51	4.83	14.71	2.8	5.47	2.65	4.6	1.85	4	3.27	3.59	0.76	1.83	1.53	1.96	2.63	1	2.23	2.42	0.64	1.25	4.14	3.49	6.69	2.47	2.15	0.75	1.31	3.17	3.22	5.23	2.48
ENSG00000096996.11	IL12RB1	0.04	0	0.06	0.11	0.6	0.02	0.01	0	0.01	0.17	0.32	0	0.37	0.01	0.01	0.04	0.01	0.02	1.14	0.01	0.09	0.29	0.07	0.01	0.01	0	0	0	0.02	0	0	0	4.94	0.04	0.46	0.55	0.2	0.14	0.07	0.01	0.01	0.02	0	0.05	0.02
ENSG00000097007.13	ABL1	26.59	19.41	29.52	59.83	10.42	27.64	17.93	27.96	25.96	14.06	23.82	19.26	54.54	13.43	39.69	67.04	9.57	90.96	21.85	16.46	45.33	21.26	17.97	32.2	9.23	11.56	27.05	38.08	34.78	8.73	35.04	6.15	15	47.99	26.75	34.63	16.23	26.75	43.58	20.7	24.02	32.54	12.9	20.27	26.7
ENSG00000097046.8	CDC7	5.34	9.38	9.52	12.02	3.01	25.28	15.44	28.69	31.44	11.02	9.69	6.68	3.71	11.13	26.65	26.78	17.71	9.16	12.93	6.37	14.96	11.87	18.16	14.26	14.74	16.9	16.6	37.9	13.99	12.2	38.02	10.71	6.7	6.51	16.14	12.54	11.44	10.91	7.91	21.92	6.43	4.88	24.89	11.56	8.14
ENSG00000099194.5	SCD	196.32	197.24	180.74	371.75	41.78	120.57	107.35	264.94	94.75	18.99	298.7	304.87	211.58	185.14	48.97	325.58	38.11	217.94	209.3	488.62	36.9	23.19	154.4	86.53	7.79	28.35	256.16	43.15	102.52	93.58	63.57	61.28	101.35	207.26	87.1	718.32	150.31	138.51	25.08	143.26	272.89	203.73	99.06	52.99	263.62
ENSG00000099617.2	EFNA2	0.05	0.36	0.31	0.22	0.03	0.26	3.19	3.44	0.23	0	0.72	0.06	0.06	12.69	2.03	0.38	0.27	0	0.07	0.43	0.18	0.14	0.19	0.69	0.53	0.63	0.13	3.42	0.75	0.33	1.26	0	0.13	0.51	0.21	0.24	0.08	0.61	2.03	3.97	0.26	0.01	0.06	0.22	0.04
ENSG00000099822.2	HCN2	10.68	5.03	0.37	2.12	0.12	0.59	2.04	0.72	0.07	0.04	1.62	0.68	23.75	0.1	0.65	1.16	0.08	4.47	0.23	5.54	0.14	1.49	0.32	1.67	1.43	0.47	0.57	0.69	0.84	0.24	1.15	0.08	0.28	2.22	10.73	4.13	0.29	1.43	9.96	0.58	3.75	0.81	0.23	1.88	1.41
ENSG00000099860.4	GADD45B	40.03	39.04	45.85	17.29	19.52	101.94	47.99	12.28	39.09	35.87	43.97	33.99	206.37	2.11	10.25	16.7	7.08	73.58	6.86	32.47	40.32	18.92	62.54	75.43	42.81	84.31	12.85	69.87	12.35	58.7	83.98	25.99	35.45	93.78	32.78	51.25	3.32	3.14	87.22	17.5	25.36	43.03	8.29	13.32	46.98
ENSG00000099869.6	IGF2	0	0.01	0	0	0.02	0.05	0.08	0.02	0	0	0.39	0	0	0.02	0	0	0	0.02	0.03	0	0	0.01	0	0.01	1.07	0.3	0	0.05	0	0	0.01	0.02	0	0	0.01	0.02	0.01	0	0	0	0.01	0	0.01	0.01	0.06
ENSG00000099875.10	MKNK2	106.19	28.92	51.58	39.84	33.01	29.24	63.77	53.15	64	28.28	56.53	63.57	69.92	82.37	171.03	193.34	51.07	69.44	32.47	45.77	44.09	45.44	48.47	64.45	74.37	69.78	44.08	70.14	81.73	61.09	33.51	42.13	78.73	35.36	49.47	34.58	24.1	17.11	68.04	47.09	54.02	93.25	32.14	19.94	67.85
ENSG00000099942.8	CRKL	17.84	16.38	26.75	33.45	9.39	76.89	21.21	52.82	38.58	16.37	21.98	18.73	32.44	47.18	34.15	109.59	25.92	17.23	34.79	20.41	24.79	23.27	35.44	15.23	26.05	38.15	17.11	32.7	40.66	21.64	27.86	12.1	7.38	26.75	25.27	23.17	45.71	20.72	41.75	22.85	23	23.64	19.09	23.64	19.48
ENSG00000099957.12	P2RX6	3.29	0.23	0.75	0.86	2.07	0.29	0.27	0.04	0.03	0.01	1.2	6.99	5.21	0.83	0.07	3.57	0.09	0.01	19.1	0.07	2.2	53.13	0.13	0.93	0.06	0.01	3.51	0.24	0.16	0.01	0.05	0.02	0.24	1.78	5.73	5.68	8.78	1.75	0.17	2.27	0.02	1.88	5.44	8.56	0.49
ENSG00000099985.3	OSM	0.03	0.05	0.05	0.02	0.01	0	0.02	0	0	0.96	0.13	0.07	0.32	0	0.03	0.02	0.12	0	0.06	0.01	0	0.21	0.04	0.01	0.06	0.05	0.98	0	0.1	0.12	0	0.01	0.39	0	0.02	0.03	0.03	0	0	0.02	0.06	0	0	0.3	0.04
ENSG00000100030.10	MAPK1	22.39	29.45	42.88	49.62	7.27	45.47	33.26	53.92	56.76	12.15	46.22	32.25	88.86	14.59	51.19	158.16	16.74	21.44	64.55	21.75	36.07	22.68	56.16	21.51	25.04	38.06	15.22	44.03	37.78	30.23	35.31	18.28	6.14	60.62	39.02	37.18	112.2	37.39	86.57	23.99	23.89	23.63	40.81	33.56	40.08
ENSG00000100055.16	CYTH4	0.27	0.1	0.27	0.02	0.1	0.35	0.08	1.38	0.01	5.9	1.43	1.56	0.02	0.01	0	0.23	0	1.7	0.38	0.15	2.65	0.49	0.12	0.22	0.63	0.63	0.01	0.01	0	0.12	0.34	0.27	7.98	0.12	0.81	0.35	0.03	0.02	0.27	0.52	0.06	0.04	0.08	0.1	0.9
ENSG00000100060.13	MFNG	6.64	0.6	1.07	0.57	0.13	1.68	0.33	1.32	0.68	127.8	1.11	0.88	1.13	1.58	1.77	0.14	1.16	0.11	0.71	0.03	1.41	1.51	3.83	0.55	0.44	1.07	0.16	0.73	1.48	1.67	0.41	0.37	103.73	0.12	1.63	0.48	0.12	0.38	11.75	130	1.31	0.36	0.07	0.5	0.43
ENSG00000100065.10	CARD10	78.65	9.2	53.03	25.93	12.63	10.7	10.77	20.57	9.85	0.07	14.08	17.62	31.51	13.33	17.81	2.46	7.5	3.98	5.62	2.65	28.38	21.84	18.66	16.74	6.86	13.29	3.31	6.07	11.48	19.39	25.52	6.24	4.51	11.81	14.47	11.01	0.66	3.65	68.32	29.55	8.95	8.88	2.02	0.76	32.14
ENSG00000100078.3	PLA2G3	0	0.01	0	0	0.02	0.06	0	0.02	0.02	0.01	0.21	0.01	0.01	0.01	0.82	2.04	0.01	0.01	0.01	0.02	0.01	0	0	0.06	0.01	0	0.09	0.07	0.01	1.78	0	0	0	0	0.1	0.23	0	0	0	0.06	0.49	0	0.03	0.02	0
ENSG00000100150.12	DEPDC5	7.84	3.87	5.65	11.35	5.45	5.95	12.1	11.7	13.6	9.55	5.53	5.64	15.91	8.35	14.17	9.07	14.09	14.45	20.66	10.41	10.33	13.94	10.46	5.77	10.97	3.96	11.15	8.83	10.08	8.42	8.49	4.09	12.15	11.32	15.78	10.95	21.5	19.03	9.07	10.98	9.55	12.67	19.18	15.74	10.65
ENSG00000100292.12	HMOX1	86.81	188.74	20.97	380.34	26.18	59.75	72.46	21.58	19.17	0.63	16.63	11.91	27.6	3.39	7.17	0.15	1.16	9.11	33.35	2.92	8.84	5.59	12.9	9.62	67.58	12.97	25.02	37.15	2.09	4.67	10.06	4.77	58.95	35.69	23.43	68.75	82.61	67.92	63.16	1.87	5.5	25.1	16.02	15.56	85.02
ENSG00000100297.11	MCM5	46.61	45.42	38.87	56.05	18.29	86.78	37.83	106.38	84.42	74.43	46.39	15.77	39.75	49.15	76.18	73.45	19.89	36.81	66.66	27.75	54.68	42.18	52.68	28.52	67.65	59.9	55.1	36.87	28.46	30.63	62.97	24.65	102.98	97.17	63.37	52.81	103.28	51.93	70.6	73.35	36.84	28.85	56.81	92.9	43.93
ENSG00000100311.12	PDGFB	4.69	3.77	23.63	1.32	2.83	10.76	32.39	11.91	7.23	0.05	2.18	0.27	0.18	5.95	4.01	0.17	0.03	0.08	1.09	13.32	0.64	5.27	30.14	8.84	0.55	17.33	0	2.95	8.5	42.77	2.05	5.59	7.4	0.3	0.28	2.49	0.1	0.12	10.68	3.98	15.59	0.97	0.04	0.04	17.67
